,glottocode,name,region,AES,EGIDS,L1_pop,L1_pop_prop,documentation,area
3682,tida1235,Tidaá Mixtec,Central America,threatened,7,380,12.06905846,little or none,66.89255972
3683,nabi1239,Nabi-Metan,Oceania,shifting,6a,620,43.81131242,little or none,60.49316065
3684,mund1325,Mundang,Africa,not endangered,5,235700,2566.161313,detailed,6571.217026
3685,mubi1246,Mubi,Africa,not endangered,6a,35300,2979.888558,basic,5193.0404
3686,mbuu1238,Ajumbu,Africa,shifting,6b,200,2.061516677,little or none,10.28156231
3687,musg1254,Musgu,Africa,not endangered,5,85900,995.0287675,detailed,5362.37888
3688,mund1326,Mündü,Africa,not endangered,5,25800,590.4910015,basic,4492.248024
3689,mabi1242,Mabire,Africa,nearly extinct,8b,3,0.141214471,little or none,113.4798531
3690,mugo1238,Mugom,Southern Asia,not endangered,6a,7000,71.89743451,basic,1281.034907
3691,maiw1249,Maiwala,Oceania,not endangered,5,2450,169.7324676,little or none,101.6257115
3692,nyon1241,Nyong,Africa,not endangered,6a,30000,260.9787604,basic,506.6113085
3693,malv1243,Malvi,Southern Asia,not endangered,5,5560000,16924.98989,basic,45452.05972
3694,east2371,Eastern Xiangxi Miao,Asia,not endangered,6a,80000,460.0159971,basic,10064.54251
3695,murl1244,Murle,Africa,threatened,5,60001,4946.623682,detailed,14513.5856
3696,cree1270,Creek,Northern America,moribund,6b,4000,239.4776388,detailed,594.2210249
3697,west2408,Western Muria,Southern Asia,not endangered,6a,400000,6263.27998,detailed,4302.765044
3698,yaak1241,Yaaku,Africa,moribund,8a,50,1.471346585,basic,2196.231693
3699,muth1236,Muthuvan,Southern Asia,not endangered,6a,16800,45.7036205,basic,1309.094619
3700,boun1245,Bo-Ung,Oceania,not endangered,5,40900,405.5602619,basic,620.6726751
3701,muya1243,Muyang,Africa,not endangered,5,30000,152.5688802,basic,117.2991657
3702,murs1242,Mursi,Africa,shifting,5,7390,272.4832454,basic,2115.895502
3703,mana1295,Manam,Oceania,shifting,5,7950,304.586142,detailed,87.46782077
3704,matt1238,Mattole,Northern America,extinct,9,0,0.0,detailed,7623.358234
3705,mamb1305,Mamboru,South-Eastern Asia,shifting,6a,10000,84.85473963,little or none,361.7674506
3706,marw1256,Marwari (Pakistan),Southern Asia,not endangered,4,220000,5982.083482,basic,33261.11103
3707,peri1253,Peripheral Mongolian,Asia,threatened,6b,3380000,1558146.171,detailed,991099.838
3708,yucu1250,Yucuañe Mixtec,Central America,threatened,7,710,21.58827412,little or none,141.7295609
3709,mire1238,Mire,Africa,not endangered,6a,5000,179.7806697,little or none,841.7741872
3710,miya1259,Miyako,Asia,moribund,7,0,0.0,detailed,213.9096652
3711,mekm1240,Mekmek,Oceania,shifting,6a,1400,225.9318004,little or none,327.5711733
3712,mbar1254,Mbara-Yanga,Australia and New Zealand,extinct,10,0,0.0,basic,27156.37499
3713,,Muya,Asia,threatened,6b,10000,1019.748567,basic,1475.085017
3714,mina1269,Minaveha,Oceania,not endangered,5,2300,53.75356716,basic,67.25586551
3715,maro1244,Marovo,Oceania,not endangered,5,8090,895.5051358,basic,1078.530758
3716,duri1242,Duri,South-Eastern Asia,not endangered,5,127000,810.6865895,basic,737.0690477
3717,moer1240,Moere,Oceania,moribund,7,50,1.46616697,little or none,20.13469951
3718,mara1397,Marau,South-Eastern Asia,threatened,6a,1700,28.20911145,little or none,108.5693923
3719,mass1263,Massep,South-Eastern Asia,moribund,8b,25,10.59389375,little or none,100.9686871
3720,mpot1241,Mpotovoro,Oceania,shifting,6b,430,24.66417277,little or none,45.36161618
3721,marf1238,Marfa,Africa,not endangered,6a,5000,177.870092,little or none,302.9965455
3722,taga1273,Tagal Murut,South-Eastern Asia,threatened,6a,2000,106.8295452,basic,8052.313102
3723,mach1265,Machinga,Africa,not endangered,6a,36000,2542.704149,basic,3432.787867
3724,meos1237,Meoswar,South-Eastern Asia,shifting,6a,250,16.57853575,little or none,110.0723262
3725,indu1241,Indus Kohistani,Southern Asia,threatened,6a,200000,917.8874642,basic,1555.084222
3726,mesq1240,Mesqan,Africa,not endangered,6a,195000,642.2748491,basic,258.525592
3727,mwat1237,Mwatebu,Oceania,shifting,6b,120,4.032475563,little or none,4.715658973
3728,juwa1238,Juwal,Oceania,shifting,7,1440,65.10773905,little or none,65.19738576
3729,aree1239,Are,Oceania,not endangered,5,1230,47.79110068,basic,74.68089535
3730,mwer1248,Mwera (Chimwera),Africa,not endangered,6a,469000,25987.91436,detailed,15516.05785
3731,murr1258,Murriny Patha,Australia and New Zealand,shifting,5,1830,4021.93029,detailed,4241.105447
3732,aikl1237,Aiklep,Oceania,not endangered,6a,3700,554.5848387,little or none,39.15459801
3733,mouk1239,Mouk-Aria,Oceania,not endangered,5,630,102.3930659,basic,869.8680183
3734,labo1244,Ninde,Oceania,shifting,6b,1100,123.050003,basic,71.53338491
3735,kita1249,Kita Maninkakan,Western Africa,not endangered,6a,434000,13635.38309,detailed,34297.16899
3736,mira1251,Mirandese,Europe,threatened,2,15000,820.4997252,detailed,408.1005887
3737,sarr1246,Sar,Africa,not endangered,3,183000,4895.021514,detailed,8486.63922
3738,nyam1275,Nyamwanga,Africa,not endangered,5,227000,4286.322077,basic,14160.15162
3739,cent2058,Central Maewo,Oceania,threatened,6b,1400,70.83964811,basic,56.85709016
3740,kala1377,Kala Lagaw Ya,Oceania,shifting,5,1210,1207.3237,basic,810.9984857
3741,munc1235,Mün Chin,South-Eastern Asia,not endangered,5,15000,730.7510122,basic,2202.594719
3742,mwim1241,Mwimbi-Muthambi,Africa,not endangered,6a,70000,276.2863545,basic,546.1349583
3743,moke1242,Moken,South-Eastern Asia,shifting,6b,6000,47.9716047,detailed,3211.629671
3744,mitt1253,Mittu,Africa,extinct,10,0,0.0,little or none,12661.37711
3745,ment1249,Mentawai,South-Eastern Asia,not endangered,5,58000,4263.450944,basic,6090.053559
3746,hmon1333,Hmong Daw,South-Eastern Asia,not endangered,5,1503400,81332.89915,detailed,23064.66585
3747,moin1241,Moingi,Africa,threatened,6a,4200,272.4792138,little or none,368.7313475
3748,nort2986,Northwest Oaxaca Mixtec,Central America,threatened,6a,5430,123.5280274,little or none,133.9721918
3749,tezo1238,Tezoatlán Mixtec,Central America,shifting,5,5080,112.8549573,detailed,139.1814996
3750,many1258,Manyika,Africa,not endangered,5,1025000,25613.93836,detailed,23560.32537
3751,moda1244,Modang,South-Eastern Asia,not endangered,6a,15300,923.964021,little or none,10261.70378
3752,mele1250,Mele-Fila,Oceania,not endangered,5,3500,27.49287027,basic,8.82737727
3753,malg1250,Malgbe,Africa,threatened,6b,6000,33.08587605,basic,1352.791569
3754,mban1264,Mbangala,Africa,not endangered,5,400000,97853.98838,basic,50094.523
3755,mvub1239,Mvuba,Africa,threatened,6b,5100,15.55942141,basic,331.8279161
3756,miju1243,Kman,Southern Asia,shifting,6a,18200,4955.559107,detailed,3900.646252
3757,nucl1458,Monumbo,Oceania,shifting,6a,410,19.71390703,detailed,20.90355618
3758,maxi1236,Maxi Gbe,Western Africa,not endangered,6a,91300,1510.667433,detailed,4109.288724
3759,mera1242,Meramera,Oceania,not endangered,6a,2000,139.2449047,basic,949.1528516
3760,moii1235,Moi (Indonesia),South-Eastern Asia,threatened,6b,4600,67.28957931,basic,2618.934358
3761,mbow1246,Mbowe,Africa,shifting,6a,460,51.89766493,little or none,323.7924495
3762,tlah1239,Tlahuitoltepec Mixe,Central America,shifting,6a,5000,146.6448518,detailed,194.0069773
3763,juqu1238,Juquila Mixe,Central America,threatened,5,8000,393.2137681,basic,301.9683114
3764,muri1259,Murik (Malaysia),South-Eastern Asia,shifting,8a,1120,370.3163369,little or none,35.38973691
3765,huit1252,Huitepec Mixtec,Central America,threatened,6a,2400,19.21440705,little or none,103.7723286
3766,jami1235,Jamiltepec Mixtec,Central America,threatened,6a,9760,210.1063612,detailed,112.7539073
3767,mada1293,Mada (Cameroon),Africa,not endangered,6a,17000,83.08555865,basic,50.45506589
3768,metl1238,Metlatónoc Mixtec,Central America,threatened,6a,46600,806.0734047,basic,2014.017764
3769,namo1246,Namo,Oceania,shifting,6a,380,182.3829645,little or none,648.1402921
3770,maho1249,Mahou,Western Africa,not endangered,6a,300000,13813.03402,detailed,8431.476267
3771,sout3002,Southeastern Nochixtlán Mixtec,Central America,threatened,6b,4200,35.77512681,basic,249.5466286
3772,cent2072,Central Masela,South-Eastern Asia,moribund,8a,510,28.31480152,little or none,2.298314437
3773,nucl1310,Burmese,Southern Asia,shifting,1,32000000,282611.5302,detailed,240164.958
3774,mbay1241,Mbay,Africa,not endangered,5,88300,2934.616435,detailed,4252.72081
3775,maye1238,Mayeka,Africa,moribund,8a,21000,941.6424169,little or none,10780.5346
3776,myen1241,Myene,Africa,not endangered,6a,46700,4672.215078,detailed,16477.21791
3777,bamb1262,Bambassi,Africa,shifting,6a,5000,69.09151857,detailed,2009.547333
3778,mant1267,Manta,Africa,threatened,6b,5300,70.51110492,little or none,276.2172453
3779,maka1318,Makah,Northern America,extinct,9,2236,553.2673973,basic,1437.687868
3780,mang1387,Mangayat,Africa,shifting,8b,400,296.6663671,basic,187.0970936
3781,mama1271,Mamara Senoufo,Western Africa,not endangered,4,738000,7314.392141,detailed,15446.58667
3782,moma1242,Moma,South-Eastern Asia,not endangered,5,5500,71.07170988,basic,813.5666393
3783,meen1242,Me'en,Africa,shifting,4,151000,1776.4166,detailed,9196.769103
3784,anfi1235,Anfillo,Africa,shifting,8a,500,4.914213274,basic,1001.080709
3785,pira1253,Pirahã,South America,threatened,6a,360,647.4328599,detailed,2319.280741
3786,muni1258,Muniche,South America,nearly extinct,9,3,0.144899864,basic,11224.36769
3787,mesm1243,Mesmes,Africa,extinct,10,0,0.0,basic,2691.428135
3788,mund1330,Mundurukú,South America,shifting,6b,7500,84133.41057,detailed,43579.68925
3789,erzy1239,Erzya,Europe,shifting,5,36700,509.3518386,detailed,8190.989373
3790,muyu1244,Muyuw,Oceania,not endangered,5,6000,264.4746625,basic,955.3224435
3791,masa1299,Masaaba,Africa,not endangered,5,1120000,2322.586915,basic,2021.090829
3792,macu1260,Macuna,South America,shifting,6b,1170,1359.452584,basic,2414.132587
3793,clas1253,Classical Mandaic,Southern Asia,extinct,9,0,0.0,detailed,8408.827536
3794,sant1436,Santa María Zacatepec Mixtec,Central America,threatened,6a,2570,46.6290527,detailed,250.3815444
3795,tumz1238,Tumzabt,Arab,threatened,6b,150000,6102.081194,basic,8713.696857
3796,mali1280,Malimba,Africa,threatened,6a,2230,3.533317163,basic,582.938451
3797,mora1273,Morawa,Oceania,not endangered,6a,1100,135.1211073,little or none,197.6755575
3798,wich1264,Wichí Lhamtés Güisnay,South America,threatened,6b,15000,6245.224342,detailed,11392.22349
3799,ixca1246,Ixcatlán Mazatec,Central America,threatened,6a,8590,96.85269846,basic,74.9494087
3800,many1261,Manya,Western Africa,not endangered,6a,75400,2170.007863,basic,3790.033638
3801,nige1255,Western Mambila,Western Africa,not endangered,6a,99000,1823.205572,basic,1956.536022
3802,maza1292,Mazatlán Mixe,Central America,threatened,5,19200,863.2001012,basic,1052.531937
3803,nucl1240,Mumuye,Western Africa,not endangered,5,400000,3892.323972,detailed,4229.164029
3804,maza1291,Mazanderani,Southern Asia,not endangered,5,3270000,15974.99626,basic,25546.48874
3805,mati1253,Matipuhy,South America,shifting,9,119,267.0597569,little or none,1571.56201
3806,movi1243,Movima,South America,shifting,8a,1450,2033.864468,detailed,2962.070482
3807,mori1269,Mori Atas,South-Eastern Asia,threatened,6b,14000,420.3414612,detailed,967.0996368
3808,maru1252,Marúbo,South America,shifting,6a,1250,6780.644918,basic,10822.48008
3809,maca1262,Macanese,Asia,nearly extinct,8b,50,0.092274329,detailed,9668.912156
3810,mint1239,Mintil,South-Eastern Asia,moribund,8a,180,11.16432818,little or none,738.3709063
3811,inap1241,Itutang-Inapang,Oceania,shifting,6a,1830,104.6506795,little or none,112.033663
3812,manz1243,Manza,Africa,not endangered,6a,220000,25837.55577,basic,31620.47748
3813,degg1238,Deg,Western Africa,threatened,5,26400,659.7991974,basic,2760.354399
3814,maia1251,Maiadomu,Oceania,not endangered,5,900,24.80428602,basic,95.83370146
3815,naml1240,Namla,South-Eastern Asia,moribund,8b,30,3.482938221,little or none,231.9290005
3816,sout2994,Southern Nambikuára,South America,shifting,5,720,4826.332377,detailed,6997.364274
3817,nara1264,Narak,Oceania,not endangered,5,6220,72.66922237,basic,276.8309625
3818,naba1256,Nabak,Oceania,not endangered,5,16000,537.425345,detailed,320.7768276
3819,nalu1240,Nalu,Western Africa,threatened,6a,21830,797.5217131,little or none,2846.759113
3820,naka1262,Nakanai,Oceania,not endangered,5,13000,801.9766331,detailed,870.8940696
3821,nali1244,Nalik,Oceania,not endangered,6a,5140,215.6670979,detailed,302.6619789
3822,nang1259,Nangikurrunggurr,Australia and New Zealand,shifting,7,180,13586.48975,detailed,10857.44326
3823,naab1241,Naaba,Asia,not endangered,6a,770,44.82669897,little or none,35.70276593
3824,neap1235,Continental Southern Italian,Europe,threatened,5,5700000,65197.63222,detailed,17702.67814
3825,nama1264,Nama (Namibia),Africa,threatened,4,251100,141679.4601,detailed,140274.2156
3826,igut1238,Iguta,Western Africa,not endangered,6a,6120,21.4875026,basic,145.4775853
3827,naas1242,Naasioi,Oceania,not endangered,5,20000,779.1813672,detailed,894.2264473
3828,hung1276,Hungworo,Western Africa,shifting,6a,20000,278.2338656,little or none,234.5308264
3829,naur1243,Nauru,Oceania,shifting,3,6000,,basic,18.26055414
3830,nava1243,Navajo,Northern America,not endangered,6b,171000,60634.19017,detailed,59881.42257
3831,nawu1242,Nawuri,Western Africa,not endangered,5,14000,174.0067625,detailed,565.0575419
3832,nakw1240,Nakwi,Oceania,shifting,6a,280,55.84382684,little or none,85.64716755
3833,narr1259,Narrinyeri,Australia and New Zealand,extinct,8b,160,460.0503922,basic,38794.68257
3834,coat1240,Coatepec Nahuatl,Central America,shifting,7,1400,20.12324876,basic,119.1604473
3835,nyem1238,Nyemba,Africa,not endangered,5,222000,20670.37137,detailed,51658.98082
3836,ndoe1238,Ndoe,Western Africa,threatened,6a,7340,53.0349047,little or none,158.1052029
3837,chan1313,Chang Naga,Southern Asia,threatened,5,62400,789.3340265,basic,457.1922817
3838,ngbi1238,Ngbinda,Africa,nearly extinct,8b,4200,461.5420403,little or none,13257.15557
3839,kony1248,Konyak Naga,Southern Asia,threatened,4,250000,777.9560952,detailed,3412.282844
3840,ngam1282,Ngamo,Western Africa,threatened,6a,60000,391.8386159,basic,1327.080211
3841,maon1238,Mao Naga,Southern Asia,threatened,5,81000,450.2420834,detailed,566.5682549
3842,ngar1235,Ngarinman,Australia and New Zealand,shifting,7,370,13809.86793,detailed,18234.05012
3843,nake1240,Nake,Oceania,shifting,6b,170,4.541171361,little or none,5.379351079
3844,sout3270,Sumayela Ndebele,Africa,not endangered,1,1090000,11204.51829,detailed,1774.337713
3845,ngba1284,Ngbaka Ma'bo,Africa,not endangered,5,99000,662.3472379,detailed,8228.719523
3846,kuri1260,Nabi,South-Eastern Asia,shifting,7,500,69.82053278,little or none,3477.434023
3847,nkuk1238,Nkukoli,Western Africa,threatened,6a,1000,5.084877301,little or none,92.77251638
3848,nnam1238,Nnam,Western Africa,not endangered,6a,3000,13.36406378,little or none,174.7235151
3849,ngge1241,Nggem,South-Eastern Asia,not endangered,5,4400,52.03392017,detailed,1036.113115
3850,numa1252,Numana,Western Africa,not endangered,6a,40000,187.2465268,little or none,472.1397936
3851,naaa1245,Na,Southern Asia,shifting,6a,1500,256.8297974,basic,982.5003789
3852,rong1266,Rongmei Naga,Southern Asia,threatened,4,61200,329.484549,detailed,523.1478688
3853,ngam1267,Ngamambo,Africa,threatened,6b,8000,32.62049893,basic,147.0167908
3854,sout2784,Southern Ngbandi,Africa,not endangered,6a,105000,1908.777569,little or none,5549.497557
3855,ning1275,Ningera,Oceania,shifting,6b,150,6.245029267,little or none,113.3891912
3856,iyoo1238,Iyo,Oceania,not endangered,5,6900,277.0184084,basic,424.5487401
3857,cent1990,Central Nicobarese,Southern Asia,threatened,5,10100,532.9293011,detailed,360.1056575
3858,pona1250,Ponam,Oceania,not endangered,6a,420,16.66168239,little or none,0.884888141
3859,nach1240,Nachering,Southern Asia,threatened,7,10000,120.5490691,basic,5.675083398
3860,yale1246,Yale,Oceania,shifting,5,600,96.38589546,basic,354.6442932
3861,nots1237,Notsi,Oceania,not endangered,5,1840,89.34451862,basic,18.31110429
3862,nisg1240,Nisga'a,Northern America,moribund,7,610,2544.097958,detailed,207.411577
3863,cent2134,Central Huasteca Nahuatl,Central America,threatened,5,200000,1926.479169,basic,2320.711817
3864,nort2957,Northern Puebla Nahuatl,Central America,not endangered,6a,60000,374.7138315,basic,375.4441879
3865,naka1260,Nakara,Australia and New Zealand,moribund,6b,57,2177.255159,detailed,247.3987392
3866,mich1245,Michoacán Nahuatl,Central America,threatened,6b,3000,229.8817241,detailed,371.5309869
3867,namb1293,Nambo,Oceania,not endangered,6a,710,342.1088749,little or none,882.3502494
3868,naun1237,Nauna,Oceania,moribund,6b,100,3.96706712,little or none,2.115910439
3869,sibe1248,Sibe,Oceania,shifting,5,6000,231.987294,basic,530.1616136
3870,ncan1245,Ncane,Africa,not endangered,6a,15500,161.3368533,basic,125.9993461
3871,chot1239,Chothe,Southern Asia,shifting,6a,3600,22.60236367,detailed,314.719068
3872,chum1261,Chumburung,Western Africa,not endangered,5,69000,1119.711633,detailed,1790.079793
3873,cent2133,Central Puebla Nahuatl,Central America,threatened,6b,16000,39.20120646,basic,576.3280869
3874,natc1249,Natchez,Northern America,extinct,8b,6,0.409715867,basic,10031.44213
3875,ndas1238,Ndasa,Africa,not endangered,6a,6990,177.5700772,basic,1197.195793
3876,kens1251,Kenswei Nsei,Africa,not endangered,5,25000,102.2319764,basic,90.74354589
3877,ndau1241,Ndau,Africa,not endangered,5,2380000,88053.80409,basic,81291.18105
3878,nden1250,Nde-Nsele-Nta,Western Africa,not endangered,6a,19500,94.16626657,little or none,492.9346888
3879,nort2795,Zimbabwean Ndebele,Africa,not endangered,3,1567000,22924.82788,detailed,87065.26902
3880,nden1248,Ndengereko,Africa,threatened,6b,72000,2126.382164,detailed,8033.847328
3881,ndal1241,Ndali,Africa,not endangered,6a,220000,1955.754818,detailed,1879.886148
3882,samb1305,Samba Leko,Western Africa,not endangered,5,62000,1113.30236,detailed,2568.078932
3883,ndam1239,Ndamba,Africa,threatened,6b,55000,1261.96171,detailed,2749.044246
3884,ndak1241,Ndaka,Africa,not endangered,6a,25000,1301.032335,little or none,5216.939714
3885,ndol1238,Ndolo,Africa,not endangered,6a,8000,220.3596541,basic,987.0179576
3886,ndam1251,Ndam,Africa,shifting,6a,6500,237.1151748,basic,2959.237282
3887,ngun1270,Ngundi,Africa,threatened,6b,3000,1300.203744,little or none,133.0838172
3888,ndon1254,Ndonga,Africa,not endangered,5,807000,146028.6932,detailed,40944.00118
3889,ndoo1242,Ndo,Africa,not endangered,5,133800,838.929633,basic,2182.068459
3890,ndom1244,Ndombe,Africa,not endangered,6a,22300,345.0003507,little or none,5660.026649
3891,ndoo1241,Ndoola,Western Africa,threatened,6a,62520,3840.790252,little or none,1581.857548
3892,nort2627,Eastern Low German,Europe,threatened,7,1000,2.701410989,detailed,1307.424924
3893,ndun1249,Ndunga,Africa,threatened,6a,2500,54.35619666,basic,205.8001774
3894,dugu1248,Dugun,Africa,not endangered,6a,7000,192.1166009,little or none,209.815367
3895,ndut1239,Ndut,Western Africa,threatened,5,38600,58.93694729,detailed,79.37539948
3896,ndob1238,Ndobo,Africa,not endangered,6a,10200,560.5873088,basic,4302.100935
3897,ndug1245,Nduga,South-Eastern Asia,not endangered,5,10000,256.2004607,little or none,3149.78282
3898,luto1241,Lutos,Africa,not endangered,6a,18980,969.1658832,basic,6653.394176
3899,ndog1248,Ndogo,Africa,not endangered,5,20000,1627.208408,basic,1915.408341
3900,tour1242,Toura (Côte d'Ivoire),Western Africa,not endangered,5,50000,790.5237584,detailed,2194.020963
3901,nede1245,Klamu,South-Eastern Asia,nearly extinct,6a,1500,18.98016466,little or none,27.18154582
3902,kuma1276,Nêlêmwa-Nixumwak,Oceania,threatened,6b,1090,224.6739345,detailed,864.4149432
3903,negi1245,Negidal,Europe,moribund,8b,74,207.4473674,detailed,5721.477596
3904,nyen1254,Nyenkha,Southern Asia,threatened,6a,10000,583.2928467,basic,1293.022153
3905,neko1240,Neko,Oceania,not endangered,6a,640,39.69540583,little or none,20.68381167
3906,neku1237,Neku,Oceania,shifting,8a,130,27.52786689,basic,31.93929555
3907,nemi1240,Nemi,Oceania,shifting,6b,910,160.8118115,basic,285.8462959
3908,neng1238,Nengone,Oceania,not endangered,5,8720,2134.143746,detailed,682.6878071
3909,nort2939,North Central Mixe,Central America,threatened,5,13000,502.5030656,basic,2410.717917
3910,yaha1248,Yahadian,South-Eastern Asia,threatened,6b,500,31.83941116,basic,317.0879528
3911,bhot1235,Bhoti Kinnauri,Southern Asia,threatened,6a,6790,447.3554168,basic,276.4980284
3912,nete1240,Nete,Oceania,not endangered,6a,750,22.61421947,little or none,334.8705828
3913,nyah1249,Nyaheun,South-Eastern Asia,not endangered,6a,3960,95.15194303,basic,376.1970345
3914,newa1246,Kathmandu Valley Newari,Southern Asia,shifting,4,861000,918.6591868,detailed,1120.996735
3915,neme1244,Neme,Oceania,not endangered,6a,300,146.791473,little or none,599.2641494
3916,neyo1238,Neyo,Western Africa,not endangered,6a,9200,84.15784655,detailed,442.2361399
3917,nezp1238,Nez Perce,Northern America,nearly extinct,8a,100,10.39657769,detailed,3164.815692
3918,dhao1237,Dhao,South-Eastern Asia,shifting,5,5000,43.47622244,basic,7.832494358
3919,ahwa1235,Ndunic,Western Africa,not endangered,6a,15000,67.84404396,little or none,108.1790287
3920,ayiw1239,Äiwoo,Oceania,threatened,6a,8400,675.1040777,basic,27.72032451
3921,nafa1258,Nafaanra,Western Africa,not endangered,5,61000,904.3934079,basic,1620.056052
3922,mfum1238,Southern Mfumte,Western Africa,not endangered,6a,24700,299.2632724,little or none,309.5605917
3923,ngba1285,Ngbaka Minagende,Africa,not endangered,4,1013650,11114.91781,detailed,28891.79394
3924,nort2774,Northern Ngbandi,Africa,not endangered,5,250000,11871.14268,detailed,28447.95095
3925,ngom1268,Ngombe (Democratic Republic of Congo),Africa,not endangered,6a,150000,6469.557382,basic,43653.00017
3926,ngan1304,Ngando (Central African Republic),Africa,not endangered,6a,5000,229.5504559,little or none,352.6703977
3927,ngem1255,Ngemba,Africa,not endangered,6a,18800,108.7116078,detailed,441.6816926
3928,ngba1287,Ngbaka Manza,Africa,not endangered,6a,29000,7192.1732,detailed,10363.06664
3929,nngg1234,N||ng,Africa,nearly extinct,8b,12,9.618510747,basic,31629.35878
3930,ngiz1242,Ngizim,Western Africa,threatened,6a,80000,579.9926562,detailed,2357.406406
3931,ngie1242,Ngie,Africa,not endangered,6a,37000,281.1113443,basic,193.3229782
3932,ngal1292,Ngalkbun,Australia and New Zealand,nearly extinct,8b,11,349.9776158,basic,15681.92496
3933,lomw1241,Mozambique Lomwe,Africa,not endangered,5,1500000,16656.87093,basic,46568.56991
3934,ngwo1241,Ngwo,Africa,not endangered,6a,22000,196.4176335,basic,294.2676869
3935,,Ngoni,Africa,threatened,5,223000,4516.81267,basic,21264.90109
3936,ngul1246,Ngulu,Africa,not endangered,6a,132000,2561.731351,basic,10903.96691
3937,ngur1263,Ngurimi,Africa,not endangered,6a,55000,461.7701903,little or none,1218.383687
3938,nang1262,Nanggu,Oceania,moribund,7,210,18.25843474,detailed,20.55041082
3939,gvok1239,Gvoko,Western Africa,not endangered,6a,21000,107.9074015,little or none,35.83052337
3940,ngeq1245,Kriang-Khlor,South-Eastern Asia,shifting,6a,12900,545.5418887,basic,1294.936106
3941,guer1241,Central Guerrero Nahuatl,Central America,not endangered,6a,150000,1937.278555,detailed,8755.563143
3942,nagu1244,Nagumi,Africa,extinct,10,0,0.0,little or none,1600.864752
3943,ngwa1251,Ngwaba,Western Africa,threatened,8a,10000,105.2362174,little or none,81.17586603
3944,nggw1242,Nggwahyi,Western Africa,shifting,6a,2000,21.4678802,little or none,57.67264337
3945,tibe1274,Tibea,Africa,threatened,6b,1400,53.22089883,basic,305.0136378
3946,ngun1272,Ngungwel,Africa,not endangered,6a,45000,15571.17877,basic,4124.116014
3947,nhan1238,Nhanda,Australia and New Zealand,nearly extinct,8b,0,0.0,detailed,40806.70375
3948,beng1286,Beng,Western Africa,not endangered,6a,17000,504.9541632,basic,358.5145013
3949,taba1265,Tabasco Nahuatl,Central America,nearly extinct,8b,0,0.0,basic,7345.644675
3950,chir1286,Chiripá,South America,shifting,6b,6960,389.9499268,basic,44202.49954
3951,east2538,Eastern Huasteca Nahuatl,Central America,threatened,5,410000,4441.961277,detailed,4559.845755
3952,tete1251,Tetelcingo Nahuatl,Central America,threatened,6b,3500,4.259602925,detailed,94.53549084
3953,naha1262,Nahari,Southern Asia,threatened,6a,20400,43.73170853,little or none,3408.334231
3954,zaca1241,Zacatlán-Ahuacatlán-Tepetzintla Nahuatl,Central America,not endangered,5,17100,106.835512,basic,147.8336561
3955,isth1240,Isthmus-Cosoleacaque Nahuatl,Central America,threatened,8a,5140,44.9091228,basic,177.0127908
3956,more1259,Morelos Nahuatl,Central America,not endangered,6a,18700,18.42302951,basic,719.6073859
3957,cent2132,Tlaxcala-Puebla-Central Nahuatl,Central America,threatened,6b,40000,78.63536359,basic,990.2755793
3958,taku1257,Takuu,Oceania,not endangered,5,1750,,basic,1.405535361
3959,isth1241,Isthmus-Pajapan Nahuatl,Central America,threatened,6b,7000,40.79619795,basic,121.4870427
3960,huax1236,Huaxcaleca Nahuatl,Central America,shifting,7,7000,33.61721919,little or none,162.4592275
3961,naro1249,Naro,Africa,threatened,3,14000,14859.95563,basic,58658.31509
3962,omet1237,Ometepec Nahuatl,Central America,shifting,7,430,8.784557033,basic,178.1948927
3963,noon1243,Noone,Africa,not endangered,5,25000,192.084557,detailed,295.5132356
3964,tema1239,Temascaltepec Nahuatl,Central America,shifting,7,310,0.575375644,basic,66.41271993
3965,west2624,Western Huasteca Nahuatl,Central America,not endangered,5,400000,4231.889077,basic,2812.723299
3966,isth1242,Isthmus-Mecayapan Nahuatl,Central America,not endangered,5,20000,132.202096,detailed,666.8605164
3967,nort2958,Northern Oaxaca Nahuatl,Central America,not endangered,5,9000,86.75561994,little or none,154.601169
3968,sant1423,Santa María La Alta Nahuatl,Central America,shifting,7,2470,16.53386235,little or none,103.6632108
3969,nias1242,Nias,South-Eastern Asia,not endangered,5,770000,4725.053895,detailed,5246.585414
3970,naka1264,Nakama,Oceania,threatened,6a,980,34.01985807,little or none,31.55040387
3971,ngan1295,Ngandi,Australia and New Zealand,nearly extinct,9,0,0.0,basic,2344.727074
3972,niel1243,Niellim,Africa,shifting,6a,5160,183.1863537,detailed,762.3846297
3973,nekk1240,Nek,Oceania,not endangered,5,2000,69.06339992,basic,55.49612952
3974,ngal1293,Ngalakgan,Australia and New Zealand,extinct,10,0,0.0,detailed,6299.490244
3975,nyih1240,Nyiha (Tanzania),Africa,not endangered,5,662000,5107.264466,detailed,4878.829802
3976,niii1240,Nii,Oceania,not endangered,5,12000,101.933724,basic,414.0440816
3977,ngaj1237,Ngaju,South-Eastern Asia,not endangered,3,890000,28957.43652,basic,31470.93245
3978,sout2689,Southern Nicobarese,Southern Asia,shifting,6a,7500,1118.410687,little or none,944.9397837
3979,nila1242,Nilamba,Africa,not endangered,6a,455000,6648.122229,basic,7011.888555
