,glottocode,name,region,AES,EGIDS,L1_pop,L1_pop_prop,documentation,area
1007,chor1273,Chortí,Central America,shifting,5,30010,244.2184733,detailed,841.8704005
1008,gari1256,Garifuna,Central America,not endangered,5,130800,8250.73404,detailed,12225.6946
1009,chuj1250,Chuj,Central America,threatened,5,43370,326.3154382,detailed,1834.159764
1010,cadd1256,Caddo,Northern America,nearly extinct,8a,25,1.294540798,detailed,39.20177049
1011,leha1242,Lehar,Western Africa,shifting,6a,12000,25.15923246,detailed,23.26474171
1012,sout2958,Southern Carrier,Northern America,moribund,8a,500,43846.75223,basic,332.5571082
1013,niva1238,Nivaclé,South America,shifting,5,13920,18297.63975,detailed,20233.60522
1014,kaqc1270,Kaqchikel,Central America,threatened,4,451000,684.127497,detailed,3715.662844
1015,caro1242,Carolinian,Oceania,shifting,4,2420,8.926742438,basic,195.9274055
1016,cemu1238,Cemuhî,Oceania,threatened,6b,2600,492.9091178,detailed,530.3260129
1017,cham1313,Chambri,Oceania,shifting,6a,1700,122.7957343,basic,180.0304333
1018,chac1251,Chácobo,South America,threatened,5,550,338.178306,detailed,900.0050719
1019,chip1262,Chipaya,South America,shifting,5,1200,266.4355074,detailed,2114.110311
1020,carn1240,Car Nicobarese,Southern Asia,threatened,3,37000,309.6721703,detailed,125.328042
1021,gali1262,Galibi Carib,South America,shifting,6b,7358,197.8046773,detailed,43453.01618
1022,mose1249,Mosetén-Chimané,South America,threatened,6b,5320,1658.539739,detailed,1901.866301
1023,stan1289,Catalan,Europe,threatened,2,3900000,27199.48072,detailed,57080.17793
1024,cavi1250,Cavineña,South America,shifting,6b,1680,2255.518355,detailed,4164.056137
1025,chiq1248,Chiquitano,South America,shifting,7,5860,2764.775487,detailed,130387.574
1026,cayu1261,Cayuga,Northern America,moribund,8a,250,2.185723629,detailed,709.3157546
1027,cani1243,Canichana,South America,extinct,9,583,715.2309153,basic,16602.13459
1028,cabi1241,Cabiyarí,South America,shifting,7,270,251.8246069,basic,940.7181584
1029,cara1272,Carapana,South America,shifting,5,642,165.9691914,detailed,1415.580128
1030,cari1279,Carijona,South America,nearly extinct,8b,6,4.746780858,basic,996.7608652
