family_id_x,name,latitude,longitude
musk1252,Muskogean,31.685553333333328,-87.61149777777779
choc1280,Chocoan,6.733067083333334,-76.96017
bora1262,Boran,-1.4327294999999998,-72.340983
west1493,West Bird's Head,-1.2473341666666666,131.61233333333334
nyim1244,Nyimang,12.272649999999995,30.09715
tequ1244,Tequistlatecan,16.179875,-95.68445
tura1263,Turama-Kikori,-7.226213333333334,143.99263166666668
lake1255,Lakes Plain,-2.948737519257649,137.70211040561608
kuli1252,Kuliak,3.3278775,34.2493525
mang1423,Mangarrayi-Maran,-14.839683333333332,134.22533333333337
coch1271,Cochimi-Yuman,30.42480280500007,-114.62952016399991
drav1251,Dravidian,22.00069493059004,79.45764897410312
bosa1245,Bosavi,-6.336264377865483,142.68752318154966
puri1261,Puri-Coroado,-21.21983,-44.1616695
kere1287,Keresan,35.24745,-106.985
laal1242,Laal,10.0063,17.6143
alse1251,Alsea-Yaquina,44.408,-123.94
gumu1250,Gumuz,10.9021,35.64815
tama1329,Tamaic,14.1199,22.0722
mong1349,Mongolic-Khitan,42.9470043223832,106.42138010513068
aust1305,Austroasiatic,15.275580145000047,97.74089603000004
yana1271,Yana,39.2769,-121.608
marr1257,Marrku-Wurrugu,-11.27315,132.445
nakh1245,Nakh-Daghestanian,42.27952944913645,46.28465264311167
taul1250,Taulil-Butam,-4.457973,152.17033700000002
sali1297,Saliban,4.8956125,-68.276825
aika1237,Aikanã,-12.6695,-60.5353
