,name,macroarea,latitude,longitude,glottocode,countries,family_id,lineage,level,category,aes
26026,Guyennais,Eurasia,44.1415,6.82979,guye1238,,indo1319,,dialect,Dialect,
26027,Bas-Languedocien,Eurasia,44.1415,6.82979,basl1241,,indo1319,,dialect,Dialect,
26028,Languedocien Moyen,Eurasia,44.1415,6.82979,lang1310,,indo1319,,dialect,Dialect,
26029,Haut-Languedocien,Eurasia,44.1415,6.82979,haut1244,,indo1319,,dialect,Dialect,
26030,Landais,Eurasia,44.1415,6.82979,land1254,,indo1319,,dialect,Dialect,
26031,Baish Aranés,Eurasia,44.1415,6.82979,bais1241,,indo1319,,dialect,Dialect,
26032,Béarnais,Eurasia,44.1415,6.82979,bear1240,,indo1319,,dialect,Dialect,
26033,Naut Aranés,Eurasia,44.1415,6.82979,naut1238,,indo1319,,dialect,Dialect,
26034,Ariégeois,Eurasia,44.1415,6.82979,arie1239,,indo1319,,dialect,Dialect,
26035,Mijaranés Aranés,Eurasia,44.1415,6.82979,mija1240,,indo1319,,dialect,Dialect,
26036,Bas-Auvergnat,Eurasia,44.1415,6.82979,basa1276,,indo1319,,dialect,Dialect,
26037,Haut-Auvergnat,Eurasia,44.1415,6.82979,haut1245,,indo1319,,dialect,Dialect,
26038,Bas-Limousin,Eurasia,44.1415,6.82979,basl1242,,indo1319,,dialect,Dialect,
26039,Haut-Limousin,Eurasia,44.1415,6.82979,haut1246,,indo1319,,dialect,Dialect,
26040,Western Asturian,Eurasia,42.4181,-6.02227,west2339,,indo1319,,dialect,Dialect,
26041,Central Asturian,Eurasia,42.4181,-6.02227,cent1956,,indo1319,,dialect,Dialect,
26042,Eastern Asturian,Eurasia,42.4181,-6.02227,east2272,,indo1319,,dialect,Dialect,
26043,Eastern Cantabrian,Eurasia,42.4181,-6.02227,east2799,,indo1319,,dialect,Dialect,
26044,Western Cantabrian,Eurasia,42.4181,-6.02227,west2880,,indo1319,,dialect,Dialect,
26045,Malabar-Sri Lanka Portuguese,Eurasia,8.5867,81.211885,mala1544,IN;LK,indo1319,,language,Spoken_L1_Language,5
26046,Northern Indo-Portuguesic,,19.7157795,72.92568,nort3243,,indo1319,,family,Family,
26047,Macanese,Eurasia,22.1902,113.5379,maca1262,CN,indo1319,,language,Spoken_L1_Language,5
26048,Malacca-Batavia Portuguese Creole,Eurasia,2.188087,102.262059,mala1533,MY,indo1319,,language,Spoken_L1_Language,3
26049,Timor Pidgin,Papunesia,-8.65995,125.59,timo1258,TL,indo1319,,language,Spoken_L1_Language,6
26050,Principense,Africa,1.614,7.392,prin1242,ST,indo1319,,language,Spoken_L1_Language,5
26051,Bantu Layer Lower Guinea Portuguese,,,,bant1299,,indo1319,,family,Family,
26052,Upper Guinea Crioulo,Africa,13.2335066667,-15.33254,uppe1455,GM;GW;SN;US,indo1319,,language,Spoken_L1_Language,1
26053,Papiamento,South America,12.48485,-69.93988,papi1253,AW;BQ;CW;NL,indo1319,,language,Spoken_L1_Language,1
26054,Kabuverdianu,Africa,15.0586,-23.6148,kabu1256,CV,indo1319,,language,Spoken_L1_Language,1
26055,Cafundo,South America,-23.0448,-43.6455,cafu1238,BR,indo1319,,language,Spoken_L1_Language,5
26056,Portuguese,Eurasia,39.91,-8.1,port1283,AD;AR;BO;BR;CO;ES;FR;GF;GY;PE;PT;PY;SR;UY;VE,indo1319,indo1319/clas1257/ital1284/lati1262/lati1263/impe1234/roma1334/ital1285/west2813/shif1234/sout3183/west2838/gali1263/macr1272/braz1247,language,Spoken_L1_Language,1
26057,Chavacano,Papunesia,7.435034,122.18849,chav1241,PH,indo1319,,language,Spoken_L1_Language,1
26058,Ternateño,Papunesia,14.28,120.72,tern1248,ID,indo1319,,language,Spoken_L1_Language,6
26059,Haquetiya,Eurasia,41.205,28.6632,haqu1237,,indo1319,,dialect,Dialect,
26060,Nuclear Ladino,Eurasia,41.205,28.6632,nucl1268,,indo1319,,dialect,Dialect,
26061,Judezmo,Eurasia,41.205,28.6632,jude1254,,indo1319,,dialect,Dialect,
26062,Brule Spanish,Eurasia,40.4414,-1.11788,brul1240,,indo1319,,dialect,Dialect,
26063,Canary Islands Spanish,Eurasia,40.4414,-1.11788,cana1269,,indo1319,,dialect,Dialect,
26064,Isleño Spanish of St. Bernard Parish,Eurasia,40.4414,-1.11788,loui1241,,indo1319,,dialect,Dialect,
26065,Venezuelan Spanish,Eurasia,40.4414,-1.11788,vene1262,,indo1319,,dialect,Dialect,
26066,Caribbean Spanish,Eurasia,40.4414,-1.11788,cari1288,,indo1319,,dialect,Dialect,
26067,Central American Spanish,Eurasia,40.4414,-1.11788,cent2388,,indo1319,,dialect,Dialect,
26068,Rioplatense Spanish,Eurasia,40.4414,-1.11788,riop1234,,indo1319,,dialect,Dialect,
26069,Andean Spanish,Eurasia,40.4414,-1.11788,ande1249,,indo1319,,dialect,Dialect,
26070,Mexican Spanish,Eurasia,40.4414,-1.11788,mexi1248,,indo1319,,dialect,Dialect,
26071,Bolivian Spanish,Eurasia,40.4414,-1.11788,boli1265,,indo1319,,dialect,Dialect,
26072,New Mexican Spanish,Eurasia,40.4414,-1.11788,newm1235,,indo1319,,dialect,Dialect,
26073,Chilean Spanish,Eurasia,40.4414,-1.11788,chil1286,,indo1319,,dialect,Dialect,
26074,Dobe,Eurasia,36.213298,44.065281,dobe1242,,afro1255,,dialect,Dialect,
26075,Arbel,Eurasia,36.213298,44.065281,arbe1239,,afro1255,,dialect,Dialect,
26076,Southeastern Lishanid Noshan,Eurasia,36.213298,44.065281,sout3076,,afro1255,,dialect,Dialect,
26077,Northeastern Lishanid Noshan,Eurasia,36.213298,44.065281,nort3097,,afro1255,,dialect,Dialect,
26078,Western North Island Maori,Papunesia,-38.2881,176.541,west2940,,aust1307,,dialect,Dialect,
26079,Moriori,Papunesia,-44.033333,-176.433333,mori1267,,aust1307,,dialect,Dialect,
26080,Eastern North Island Maori,Papunesia,-38.2881,176.541,east2850,,aust1307,,dialect,Dialect,
26081,Mangaia,Papunesia,-27.6304,-144.338,mang1402,,aust1307,,dialect,Dialect,
26082,Old Rapa,Papunesia,-27.6304,-144.338,oldr1239,,aust1307,,dialect,Dialect,
26083,Napuka,Papunesia,-16.17259,-146.321755,napu1240,,aust1307,,dialect,Dialect,
26084,Tapuhoe,Papunesia,-16.17259,-146.321755,tapu1238,,aust1307,,dialect,Dialect,
26085,Fangatau,Papunesia,-16.17259,-146.321755,fang1249,,aust1307,,dialect,Dialect,
26086,Marangai,Papunesia,-16.17259,-146.321755,mara1400,,aust1307,,dialect,Dialect,
26087,Parata,Papunesia,-16.17259,-146.321755,para1305,,aust1307,,dialect,Dialect,
26088,Reao,Papunesia,-16.17259,-146.321755,reao1237,,aust1307,,dialect,Dialect,
26089,Vahitu,Papunesia,-16.17259,-146.321755,vahi1237,,aust1307,,dialect,Dialect,
26090,Tahitian,Papunesia,-17.6485,-149.45,tahi1242,PF,aust1307,aust1307/mala1545/cent2237/east2712/ocea1241/cent2060/east2445/poly1242/nucl1485/nort3246/solo1260/cent2298/east2449/cent2062/tahi1244,language,Spoken_L1_Language,1
26091,Austral,Papunesia,-23.3843,-149.462,aust1304,PF,aust1307,,language,Spoken_L1_Language,3
26092,Atiu,Papunesia,-21.23,-159.78,atiu1237,,aust1307,,dialect,Dialect,
26093,Rarotonga,Papunesia,-21.23,-159.78,raro1242,,aust1307,,dialect,Dialect,
26094,Mauke,Papunesia,-21.23,-159.78,mauk1238,,aust1307,,dialect,Dialect,
26095,Aitutaki,Papunesia,-21.23,-159.78,aitu1237,,aust1307,,dialect,Dialect,
26096,Mitiaro,Papunesia,-21.23,-159.78,miti1242,,aust1307,,dialect,Dialect,
26097,Nuku Hiva,Papunesia,-8.89412,-140.108,nuku1261,,aust1307,,dialect,Dialect,
26098,Hatutu,Papunesia,-8.89412,-140.108,hatu1243,,aust1307,,dialect,Dialect,
26099,Ua Pou,Papunesia,-8.89412,-140.108,uapo1237,,aust1307,,dialect,Dialect,
